sku,name,category,description,price_cents,stock,aisle,bin,tags,attributes_json
KTZ-PH-001,Picture Hanging Kit (Assorted 50pc),Picture Hanging,"Assorted hooks, nails, wire, and hangers for common frames.",1299,18,Aisle 3,Bin A,picture|hanging|kit,"{""no_drill"":false,""max_weight_lb"":30,""wall_types"":[""painted_drywall"",""plaster""],""includes"":[""hooks"",""nails"",""wire""],""use_case"":""general_frames""}"
KTZ-PH-002,Small Brass Picture Hooks (10 pack),Picture Hanging,"Small hooks for light frames.",399,42,Aisle 3,Bin B,picture|hooks|light,"{""no_drill"":false,""max_weight_lb"":10,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-003,Medium Picture Hooks (10 pack),Picture Hanging,"Medium hooks for medium frames.",499,35,Aisle 3,Bin B,picture|hooks|medium,"{""no_drill"":false,""max_weight_lb"":25,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-004,Heavy Duty Picture Hooks (5 pack),Picture Hanging,"Heavy duty hooks for large frames and mirrors (with proper wall).",699,22,Aisle 3,Bin C,picture|hooks|heavy,"{""no_drill"":false,""max_weight_lb"":50,""wall_types"":[""painted_drywall"",""plaster""],""tool_needed"":""hammer""}"
KTZ-PH-005,Wire Hanging Set (25 ft + crimps),Picture Hanging,"Steel picture wire + crimps for secure hanging.",899,14,Aisle 3,Bin D,wire|picture|hanging,"{""no_drill"":false,""use_case"":""add_wire_to_frame"",""tool_needed"":""pliers""}"
KTZ-PH-006,D-Ring Hangers (4 pack),Picture Hanging,"D-rings for frames; pairs well with wire.",599,28,Aisle 3,Bin D,frame|d-ring|wire,"{""no_drill"":false,""use_case"":""add_hardware_to_frame"",""tool_needed"":""screwdriver""}"
KTZ-PH-007,Sawtooth Hangers (10 pack),Picture Hanging,"Sawtooth hangers for small frames.",399,33,Aisle 3,Bin D,sawtooth|frame,"{""no_drill"":false,""max_weight_lb"":15,""tool_needed"":""screwdriver""}"
KTZ-PH-008,Adhesive Picture anging Strips (Large),Adhesives,"Removable strips for smooth painted walls; better with prep.",899,40,Aisle 7,Bin A,adhesive|no-drill|removable,"{""no_drill"":true,""max_weight_lb"":16,""wall_types"":[""painted_drywall""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-009,Adhesive Picture Hanging Strips (XL),Adhesives,"Extra-strong removable strips for heavier frames on smooth surfaces.",1199,24,Aisle 7,Bin A,adhesive|no-drill|removable,"{""no_drill"":true,""max_weight_lb"":24,""wall_types"":[""painted_drywall""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-010,Clear Removable Mounting Tape (1 in x 10 ft),Adhesives,"General removable mounting tape. Not ideal for dusty/porous walls.",799,31,Aisle 7,Bin B,tape|mounting|no-drill,"{""no_drill"":true,""max_weight_lb"":8,""wall_types"":[""painted_drywall"",""tile"",""glass""],""surface_prep"":""clean_dry"",""removable"":true}"
KTZ-PH-011,Nano Gel Tape (Reusable 1 in x 10 ft),Adhesives,"Reusable gel tape for smooth surfaces; clean and reapply.",999,19,Aisle 7,Bin B,nano|tape|reusable,"{""no_drill"":true,""max_weight_lb"":6,""wall_types"":[""tile"",""glass"",""metal""],""surface_prep"":""clean_dry"",""removable"":true}"
KTZ-PH-012,Museum Putty (2 oz),Adhesives,"Stabilizes frames to reduce slipping; not primary load-bearing.",699,21,Aisle 7,Bin C,putty|stabilizer|no-drill,"{""no_drill"":true,""max_weight_lb"":2,""wall_types"":[""painted_drywall"",""tile""],""use_case"":""anti-slip_support"",""removable"":true}"
KTZ-PH-013,Wall Hook - Adhesive (Small 3 pack),Hooks,"Small adhesive hooks for light items on smooth surfaces.",499,44,Aisle 7,Bin D,hook|adhesive|no-drill,"{""no_drill"":true,""max_weight_lb"":3,""wall_types"":[""painted_drywall"",""tile""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-014,Wall Hook - Adhesive (Large 2 pack),Hooks,"Larger adhesive hooks for towels/light decor.",599,29,Aisle 7,Bin D,hook|adhesive|no-drill,"{""no_drill"":true,""max_weight_lb"":7,""wall_types"":[""painted_drywall"",""tile""],""surface_prep"":""clean_isopropyl"",""removable"":true}"
KTZ-PH-015,Ceiling Hook - Adhesive (2 pack),Hooks,"Adhesive ceiling hooks for very light items only.",699,12,Aisle 7,Bin E,hook|ceiling|adhesive,"{""no_drill"":true,""max_weight_lb"":1,""wall_types"":[""painted_drywall""],""warnings"":[""not_for_heavy_items""]}"
